"id","create_uid/id","create_date","info2","info3","info","devka_ins_id/id","devka_ins_id/auto_install","devka_ins_id/create_uid/id","devka_ins_id/create_date","devka_ins_id/icon","devka_ins_id/inst2_id/id","devka_ins_id/write_uid/id","devka_ins_id/write_date","devka_ins_id/sequence","devka_ins_id/uninst_id/id","devka_ins_id/uninst2_id/id","devka_ins_id/upg_id/id","devka_ins_id/upg2_id/id","devka_uninst_id/id","devka_uninst_id/auto_install","devka_uninst_id/create_uid/id","devka_uninst_id/create_date","devka_uninst_id/icon","devka_uninst_id/inst_id/id","devka_uninst_id/inst2_id/id","devka_uninst_id/write_uid/id","devka_uninst_id/write_date","devka_uninst_id/sequence","devka_uninst_id/uninst2_id/id","devka_uninst_id/upg_id/id","devka_uninst_id/upg2_id/id","devka_upg_id/id","devka_upg_id/auto_install","devka_upg_id/create_uid/id","devka_upg_id/create_date","devka_upg_id/icon","devka_upg_id/inst_id/id","devka_upg_id/inst2_id/id","devka_upg_id/write_uid/id","devka_upg_id/write_date","devka_upg_id/sequence","devka_upg_id/uninst_id/id","devka_upg_id/uninst2_id/id","devka_upg_id/upg2_id/id","devka2_ins_id/id","devka2_ins_id/auto_install","devka2_ins_id/create_uid/id","devka2_ins_id/create_date","devka2_ins_id/icon","devka2_ins_id/inst_id/id","devka2_ins_id/write_uid/id","devka2_ins_id/write_date","devka2_ins_id/sequence","devka2_ins_id/uninst_id/id","devka2_ins_id/uninst2_id/id","devka2_ins_id/upg_id/id","devka2_ins_id/upg2_id/id","devka2_uninst_id/id","devka2_uninst_id/auto_install","devka2_uninst_id/create_uid/id","devka2_uninst_id/create_date","devka2_uninst_id/icon","devka2_uninst_id/inst_id/id","devka2_uninst_id/inst2_id/id","devka2_uninst_id/write_uid/id","devka2_uninst_id/write_date","devka2_uninst_id/sequence","devka2_uninst_id/uninst_id/id","devka2_uninst_id/upg_id/id","devka2_uninst_id/upg2_id/id","devka2_upg_id/id","devka2_upg_id/auto_install","devka2_upg_id/create_uid/id","devka2_upg_id/create_date","devka2_upg_id/icon","devka2_upg_id/inst_id/id","devka2_upg_id/inst2_id/id","devka2_upg_id/write_uid/id","devka2_upg_id/write_date","devka2_upg_id/sequence","devka2_upg_id/uninst_id/id","devka2_upg_id/uninst2_id/id","devka2_upg_id/upg_id/id","write_uid/id","write_date","name","dt_date","bug_free","is_update"
"__export__.module_release_1","base.user_root","2018-03-01 18:16:45","","","1. в formview в action появляется опция Open in new Tab - вызывает ошибку
2. при отключенном функционале quickearch иконки в верхнем меню налазить на аватар
3. Не подтягивает зелёный цвет при наличии атачментов в форм вью.
4. Не работает доработка клика на полях формы.
5. Глюк при кнопке фулскрин во вьюхах - сверху белая полоса.
6. Из модуля тюниг редактированная форма кастомера нужна.
7. добавить в цсс-темы
#body .oe_view_manager_view_graph .graph_widget {
   width: auto !important;
}
8. на странице настройки темы, ломается цсс: http://prntscr.com/ime1qt
9.  пейджер в полях О2м
10. Три вью сломано. 
11. bt_message_history_chatter - добавляет в чаттере новые опции, конфликтует с иконками табов (стоит подумать ро целесообразности модуля)","base.module_simbioz_theme_v2","False","","","/simbioz_theme_v2/static/description/icon.png","","base.user_root","2018-03-13 15:09:24","1","","","","","","","","","","","","","","","","","","base.module_pi_open_in_new_tab","False","","","/pi_open_in_new_tab/static/description/icon.png","base.module_account_cancel","","base.user_root","2018-03-14 18:06:06","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","base.user_root","2018-03-14 18:07:09","Interface","2018-03-14 18:07:06","False","True"
"","","","","","","base.module_filter_collapse","False","","","/base/static/description/icon.png","","base.user_root","2018-03-13 15:09:24","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_pi_open_in_new_tab","False","","","/pi_open_in_new_tab/static/description/icon.png","","base.user_root","2018-03-14 18:06:06","99","","","base.module_account_cancel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_popup_resize","False","","","/base/static/description/icon.png","","base.user_root","2018-03-13 15:09:24","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_preview_tree","False","","","/base/static/description/icon.png","","base.user_root","2018-03-14 18:06:06","99","","","base.module_account_cancel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_quick_menu","False","","","/base/static/description/icon.png","","base.user_root","2018-03-13 15:09:24","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_rowno_in_tree","False","","","/rowno_in_tree/static/description/icon.png","","base.user_root","2018-03-14 18:06:06","99","","","base.module_account_cancel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_simbioz_loading","False","","","/base/static/description/icon.png","","base.user_root","2018-03-13 15:09:24","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_simbioz_tree_view","False","base.user_root","2018-03-07 12:51:47","/simbioz_tree_view/static/description/icon.png","","base.user_root","2018-03-13 15:09:24","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_web_fullscreen","False","","","/base/static/description/icon.png","","base.user_root","2018-03-13 15:09:24","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","base.module_preview_tree","False","","","/base/static/description/icon.png","base.module_account_cancel","","base.user_root","2018-03-14 18:06:06","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","base.module_rowno_in_tree","False","","","/rowno_in_tree/static/description/icon.png","base.module_account_cancel","","base.user_root","2018-03-14 18:06:06","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"__export__.module_release_2","base.user_root","2018-03-12 17:45:00","","","","base.module_developers_stuff","False","base.user_root","2018-03-13 15:09:24","/developers_stuff/static/description/icon.png","","base.user_root","2018-03-15 09:01:45","1","","","","","","","","","","","","","","","","","","base.module_devka","False","","","/devka/static/description/icon.png","base.module_website_event","","base.user_root","2018-03-15 09:01:45","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","base.user_root","2018-03-15 08:51:11","Developer","2018-03-15 08:51:10","False","True"
"","","","","","","base.module_devka","False","","","/devka/static/description/icon.png","","base.user_root","2018-03-15 09:01:45","1","","","base.module_website_event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_simbioz_advanced_tuning","False","base.user_root","2018-03-13 15:09:24","/simbioz_advanced_tuning/static/description/icon.png","","base.user_root","2018-03-13 15:28:43","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_simbioz_settings","True","base.user_root","2018-03-12 16:41:23","/simbioz_settings/static/description/icon.png","","base.user_root","2018-03-15 09:01:45","1","","","base.module_website_event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_base_field_validator","False","base.user_root","2018-03-12 17:39:20","/base_field_validator/static/description/icon.png","","base.user_root","2018-03-15 09:01:45","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_base_optional_quick_create","False","base.user_root","2018-03-12 17:39:20","/base_optional_quick_create/static/description/icon.png","","base.user_root","2018-03-15 09:01:45","99","","","base.module_website_event","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","base.module_database_cleanup","False","base.user_root","2018-03-12 17:39:20","/database_cleanup/static/description/icon.png","","base.user_root","2018-03-15 09:01:45","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
